City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,49.71,91,40,4.61,GB,1710262561
1,bardai,11.65,7.2333,98.73,8,92,9.73,NG,1710262562
2,puerto natales,-51.7236,-72.4875,59.45,36,40,23.02,CL,1710262562
3,kodiak,57.79,-152.4072,23.5,65,94,9.1,US,1710262562
4,waitangi,-43.9535,-176.5597,55.81,76,100,1.99,NZ,1710262562
5,chinde,26.8418,88.0763,58.3,31,1,6.15,NP,1710262562
6,blackmans bay,-43.0167,147.3167,51.93,78,59,1.97,AU,1710262562
7,invercargill,-46.4,168.35,51.03,79,6,13.0,NZ,1710262562
8,kapsabet,0.2039,35.105,74.75,45,92,4.41,KE,1710262562
9,yellowknife,62.456,-114.3525,11.41,88,100,16.11,CA,1710262337
10,grytviken,-54.2811,-36.5092,42.03,82,66,7.36,GS,1710262446
11,ust-nera,64.5667,143.2,-25.15,99,54,3.27,RU,1710262463
12,brisas de zicatela,15.8369,-97.0419,85.87,62,0,7.96,MX,1710262460
13,terrace,54.5163,-128.6035,37.22,100,75,2.3,CA,1710262563
14,port lincoln,-34.7333,135.8667,66.61,85,100,12.17,AU,1710262461
15,alofi,-19.0595,-169.9187,80.49,89,75,18.41,NU,1710262541
16,ust'-ilimsk,58.0006,102.6619,20.23,93,100,10.0,RU,1710262563
17,klyuchi,52.2667,79.1667,22.12,96,100,12.08,RU,1710262563
18,gorontalo,0.5412,123.0595,74.57,92,99,4.27,ID,1710262416
19,richards bay,-28.783,32.0377,80.51,80,100,15.77,ZA,1710262348
20,pathein,16.7833,94.7333,67.73,79,2,7.02,MM,1710262563
21,bredasdorp,-34.5322,20.0403,69.1,70,26,10.51,ZA,1710262564
22,trzcianka,53.0406,16.4563,51.8,70,100,6.04,PL,1710262564
23,west island,-12.1568,96.8225,78.78,78,75,10.36,CC,1710262554
24,tari,12.4086,4.4914,106.48,11,84,6.51,NG,1710262564
